name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
London,2023-10-18,16.8,11.8,13.4,16.8,11.8,13.4,10.2,81,11.6,100,54.17,rain,0,0,64.4,32.8,104.5,995.8,89.6,12.5,30.1,2.6,2,10,2023-10-18T07:28:59,2023-10-18T18:01:38,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"EGWU,EGLL,D5621,F6665,EGLC"
London,2023-10-19,17.6,14,15.9,17.6,14,15.9,13.6,86.2,3.1,95.2,41.67,rain,0,0,55.8,23,186.8,983.3,94.6,21.5,52.8,4.5,2,10,2023-10-19T07:30:42,2023-10-19T17:59:33,0.17,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
London,2023-10-20,14.3,11.7,13.4,14.3,11.7,13.4,12.1,92.5,14.8,85.7,79.17,rain,0,0,35.6,15.1,341.6,978.5,100,18.3,9.1,0.8,1,10,2023-10-20T07:32:26,2023-10-20T17:57:28,0.2,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
London,2023-10-21,12.1,9,10.6,12.1,7.7,10.2,6.5,76,1.7,85.7,29.17,rain,0,0,37.4,15.8,290.7,988.1,98.9,23.4,48.4,4.2,2,10,2023-10-21T07:34:09,2023-10-21T17:55:24,0.24,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,
London,2023-10-22,15.6,8.8,11.5,15.6,7,11,7.2,75.8,0,33.3,0,rain,0,0,42.5,17.3,226.1,1004.7,42,23.9,106.9,9.2,4,10,2023-10-22T07:35:53,2023-10-22T17:53:22,0.25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
London,2023-10-23,14.7,9.9,12.4,14.7,9.9,12.4,9.4,81.9,2.2,47.6,16.67,rain,0,0,53.6,21.6,173.5,1005.2,87.4,23.6,36.5,3.5,2,10,2023-10-23T07:37:38,2023-10-23T17:51:20,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,
London,2023-10-24,14,9.9,11.9,14,7.6,11.6,7.8,76.6,3.9,66.7,16.67,rain,0,0,55.7,25.6,217.7,1002.4,53.1,23.9,79.3,7.1,3,10,2023-10-24T07:39:22,2023-10-24T17:49:20,0.34,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,
London,2023-10-25,16.1,13.2,14.3,16.1,13.2,14.3,11.5,83.7,11.3,71.4,25,rain,0,0,67.7,28.4,218,991.2,70,18.8,81.8,7.2,3,10,2023-10-25T07:41:07,2023-10-25T17:47:20,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
London,2023-10-26,13.3,10.2,11.6,13.3,10.2,11.6,6.2,69.8,9.1,66.7,25,rain,0,0,70.2,34.2,234.4,981.8,82.4,22.9,72.5,6.3,3,10,2023-10-26T07:42:52,2023-10-26T17:45:22,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
London,2023-10-27,13.3,9.8,11.4,13.3,6.9,11.2,7.7,78.1,0.8,66.7,12.5,rain,0,0,49.3,23.8,267.5,980.7,66.8,24.1,45.9,3.9,2,10,2023-10-27T07:44:37,2023-10-27T17:43:26,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
London,2023-10-28,11.7,8.7,9.9,11.7,6.6,8.6,5.3,73.4,0.8,57.1,16.67,rain,0,0,40,20.5,264.2,995.1,56.4,24.1,79.8,6.6,3,10,2023-10-28T07:46:22,2023-10-28T17:41:30,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
London,2023-10-29,13.2,8.9,11.5,13.2,7.1,11.2,7,74.2,11.9,47.6,20.83,rain,0,0,61.2,29.2,219.3,993.8,75.8,20.8,76.6,6.6,3,10,2023-10-29T06:48:08,2023-10-29T16:39:36,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
London,2023-10-30,12.9,8.8,11.1,12.9,7.1,10.8,5.5,68.7,1.7,52.4,8.33,rain,0,0,60.1,28.1,221.3,995.6,52,23.7,63.6,5.4,2,10,2023-10-30T06:49:54,2023-10-30T16:37:43,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
London,2023-10-31,12.6,7.3,9.7,12.6,6.3,9.2,5.3,75,0,57.1,0,rain,0,0,27.7,9.7,257.1,1006,1.4,24.1,92.1,7.8,3,10,2023-10-31T06:51:39,2023-10-31T16:35:52,0.59,Rain,Clear conditions throughout the day with a chance of rain.,rain,
London,2023-11-01,11.2,7.2,8.9,11.2,6.3,8.4,4.4,73.9,0,57.1,0,rain,0,0,20.5,9,8.3,1016.7,8,24.1,90.5,7.8,3,10,2023-11-01T06:53:25,2023-11-01T16:34:02,0.62,Rain,Clear conditions throughout the day with a chance of rain.,rain,
